ZIP,COUNTYNAME,STATE,STCOUNTYFP,CLASSFP,CITY_NAME,
36003,Autauga County,AL,1001,H1,AUTAUGAVILLE,
36006,Autauga County,AL,1001,H1,BILLINGSLEY,
36067,Autauga County,AL,1001,H1,PRATTVILLE,
36066,Autauga County,AL,1001,H1,PRATTVILLE,
36703,Autauga County,AL,1001,H1,SELMA,
36701,Autauga County,AL,1001,H1,SELMA,
36091,Autauga County,AL,1001,H1,DEATSVILLE,
36051,Autauga County,AL,1001,H1,DEATSVILLE,
36068,Autauga County,AL,1001,H1,PRATTVILLE,
36008,Autauga County,AL,1001,H1,PRATTVILLE,
36022,Autauga County,AL,1001,H1,DEATSVILLE,
36749,Autauga County,AL,1001,H1,JONES,
36758,Autauga County,AL,1001,H1,PLANTERSVILLE,
36550,Baldwin County,AL,1003,H1,LITTLE RIVER,
36551,Baldwin County,AL,1003,H1,LOXLEY,
36527,Baldwin County,AL,1003,H1,DAPHNE,
36577,Baldwin County,AL,1003,H1,DAPHNE,
36559,Baldwin County,AL,1003,H1,MONTROSE,
36536,Baldwin County,AL,1003,H1,FOLEY,
36576,Baldwin County,AL,1003,H1,SILVERHILL,
36579,Baldwin County,AL,1003,H1,BAY MINETTE,
36502,Baldwin County,AL,1003,H1,ATMORE,
36578,Baldwin County,AL,1003,H1,BAY MINETTE,
36533,Baldwin County,AL,1003,H1,FAIRHOPE,
36564,Baldwin County,AL,1003,H1,POINT CLEAR,
36561,Baldwin County,AL,1003,H1,ORANGE BEACH,
36580,Baldwin County,AL,1003,H1,SUMMERDALE,
36535,Baldwin County,AL,1003,H1,FOLEY,
36547,Baldwin County,AL,1003,H1,GULF SHORES,
36549,Baldwin County,AL,1003,H1,LILLIAN,
36530,Baldwin County,AL,1003,H1,ELBERTA,
36562,Baldwin County,AL,1003,H1,PERDIDO,
36532,Baldwin County,AL,1003,H1,FAIRHOPE,
36526,Baldwin County,AL,1003,H1,DAPHNE,
36555,Baldwin County,AL,1003,H1,MAGNOLIA SPRINGS,
36511,Baldwin County,AL,1003,H1,BON SECOUR,
36567,Baldwin County,AL,1003,H1,ROBERTSDALE,
36574,Baldwin County,AL,1003,H1,ROBERTSDALE,
36480,Baldwin County,AL,1003,H1,URIAH,
36507,Baldwin County,AL,1003,H1,BAY MINETTE,
36542,Baldwin County,AL,1003,H1,GULF SHORES,
36017,Barbour County,AL,1005,H1,CLIO,
36016,Barbour County,AL,1005,H1,CLAYTON,
36311,Barbour County,AL,1005,H1,ARITON,
36374,Barbour County,AL,1005,H1,OZARK,
36048,Barbour County,AL,1005,H1,LOUISVILLE,
36053,Barbour County,AL,1005,H1,MIDWAY,
36317,Barbour County,AL,1005,H1,ABBEVILLE,
36027,Barbour County,AL,1005,H1,EUFAULA,
36072,Barbour County,AL,1005,H1,EUFAULA,
35035,Bibb County,AL,1007,H1,BRIERFIELD,
35034,Bibb County,AL,1007,H1,BRENT,
36750,Bibb County,AL,1007,H1,MAPLESVILLE,
35115,Bibb County,AL,1007,H1,MONTEVALLO,
35188,Bibb County,AL,1007,H1,WOODSTOCK,
36793,Bibb County,AL,1007,H1,MAPLESVILLE,
35074,Bibb County,AL,1007,H1,GREEN POND,
35042,Bibb County,AL,1007,H1,CENTREVILLE,
35111,Bibb County,AL,1007,H1,MC CALLA,
35184,Bibb County,AL,1007,H1,WEST BLOCTON,
36792,Bibb County,AL,1007,H1,RANDOLPH,
35456,Bibb County,AL,1007,H1,DUNCANVILLE,
35031,Blount County,AL,1009,H1,BLOUNTSVILLE,
35121,Blount County,AL,1009,H1,ONEONTA,
35063,Blount County,AL,1009,H1,EMPIRE,
